Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Refinadores,2177-09-25,2177-09-26 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,24,26
Tamices o Cribas,2177-10-25,2177-10-25 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,8,6
Prensas,2177-11-29,2177-11-29 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,6,7
Lavadoras de Pulpa,2178-01-13,2178-01-13 06:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,8,6
Lavadoras de Pulpa,2178-02-27,2178-02-27 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,6,7
Tamices o Cribas,2178-03-29,2178-03-31 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,72,71
Bombas,2178-05-08,2178-05-09 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,48,46
Tamices o Cribas,2178-06-07,2178-06-07 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,8,10
Digestores,2178-08-06,2178-08-07 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Condiciones operativas extremas,24,25
Prensas,2178-09-10,2178-09-12 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,48,50
Tamices o Cribas,2178-10-10,2178-10-12 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,72,71
Prensas,2178-11-14,2178-11-17 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,72,73
Bombas,2178-12-24,2178-12-25 01:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,24,25
Refinadores,2179-02-12,2179-02-12 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,12,10
Prensas,2179-03-19,2179-03-21 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,48,50
Prensas,2179-04-23,2179-04-23 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,8,10
Refinadores,2179-06-12,2179-06-13 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,48,47
Bombas,2179-07-22,2179-07-24 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,48
Prensas,2179-08-26,2179-08-26 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,24,23
Lavadoras de Pulpa,2179-10-10,2179-10-10 06:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,8,6
Bombas,2179-11-19,2179-11-21 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,48
Refinadores,2180-01-08,2180-01-08 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,8,10
Tamices o Cribas,2180-02-07,2180-02-07 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,24,23
Tamices o Cribas,2180-03-08,2180-03-08 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,8,8
Prensas,2180-04-12,2180-04-12 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,4,4
Refinadores,2180-06-01,2180-06-01 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,8,10
Tamices o Cribas,2180-07-01,2180-07-01 09:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,8,9
Prensas,2180-08-05,2180-08-06 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,48,47
Digestores,2180-10-04,2180-10-07 00:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,72,72
Lavadoras de Pulpa,2180-11-18,2180-11-18 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,8,10
Prensas,2180-12-23,2180-12-23 06:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,6,6
Digestores,2181-02-21,2181-02-22 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,24,24
Tamices o Cribas,2181-03-23,2181-03-23 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,8
Tamices o Cribas,2181-04-22,2181-04-22 12:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,12,12
Tamices o Cribas,2181-05-22,2181-05-22 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,6,7
Prensas,2181-06-26,2181-06-26 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,8,10
Tamices o Cribas,2181-07-26,2181-07-26 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,12,11
Refinadores,2181-09-14,2181-09-14 03:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Falla mecánica,4,3
Refinadores,2181-11-03,2181-11-03 04:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,4,4
Tamices o Cribas,2181-12-03,2181-12-03 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,6,6
Bombas,2182-01-12,2182-01-15 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,72,72
Prensas,2182-02-16,2182-02-16 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,24,22
Tamices o Cribas,2182-03-18,2182-03-18 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,4,2
Bombas,2182-04-27,2182-04-29 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Desgaste natural,48,48
Digestores,2182-06-26,2182-06-26 10:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Sobrecarga,12,10
Refinadores,2182-08-15,2182-08-16 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,48,47
Digestores,2182-10-14,2182-10-15 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Mantenimiento insuficiente,48,47
Refinadores,2182-12-03,2182-12-03 04:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,4,4
Tamices o Cribas,2183-01-02,2183-01-02 13:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,12,13
Bombas,2183-02-11,2183-02-11 09:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Mantenimiento insuficiente,8,9
Lavadoras de Pulpa,2183-03-28,2183-03-29 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,24,26
Lavadoras de Pulpa,2183-05-12,2183-05-12 03:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,4,3
Refinadores,2183-07-01,2183-07-01 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,6,6
Refinadores,2183-08-20,2183-08-20 09:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,8,9
Prensas,2183-09-24,2183-09-24 04:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,6,4
Refinadores,2183-11-13,2183-11-16 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,72,72
Prensas,2183-12-18,2183-12-21 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,72,72
Prensas,2184-01-22,2184-01-24 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,72,70
Tamices o Cribas,2184-02-21,2184-02-21 14:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,12,14
Lavadoras de Pulpa,2184-04-06,2184-04-08 22:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,70
Prensas,2184-05-11,2184-05-13 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,48,49
Refinadores,2184-06-30,2184-07-01 01:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,24,25
Digestores,2184-08-29,2184-08-29 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,6,8
Tamices o Cribas,2184-09-28,2184-09-28 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,8,7
Lavadoras de Pulpa,2184-11-12,2184-11-12 11:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,12,11
Lavadoras de Pulpa,2184-12-27,2184-12-27 11:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,12,11
Bombas,2185-02-05,2185-02-05 14:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,12,14
Refinadores,2185-03-27,2185-03-27 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,24,22
Refinadores,2185-05-16,2185-05-19 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,72,72
Bombas,2185-06-25,2185-06-27 01:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,48,49
Lavadoras de Pulpa,2185-08-09,2185-08-09 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,12,10
Refinadores,2185-09-28,2185-09-29 01:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,24,25
Prensas,2185-11-02,2185-11-04 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,48,49
Lavadoras de Pulpa,2185-12-17,2185-12-18 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,48,47
Tamices o Cribas,2186-01-16,2186-01-18 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,48,50
Bombas,2186-02-25,2186-02-27 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Desgaste natural,48,48
Refinadores,2186-04-16,2186-04-16 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Falla mecánica,12,10
Digestores,2186-06-15,2186-06-17 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Falla mecánica,72,71
Digestores,2186-08-14,2186-08-14 08:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,6,8
Lavadoras de Pulpa,2186-09-28,2186-09-30 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,48,50
Digestores,2186-11-27,2186-11-27 09:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Fatiga del material,8,9
Digestores,2187-01-26,2187-01-26 08:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,6,8
Digestores,2187-03-27,2187-03-27 11:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,12,11
Tamices o Cribas,2187-04-26,2187-04-26 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,6,8
Digestores,2187-06-25,2187-06-25 13:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,12,13
Bombas,2187-08-04,2187-08-04 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,12,10
Tamices o Cribas,2187-09-03,2187-09-03 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,6,7
Tamices o Cribas,2187-10-03,2187-10-05 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,48,50
Prensas,2187-11-07,2187-11-07 06:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,4,6
Bombas,2187-12-17,2187-12-17 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,24,22
Refinadores,2188-02-05,2188-02-07 01:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,48,49
Refinadores,2188-03-26,2188-03-26 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,4,6
Tamices o Cribas,2188-04-25,2188-04-28 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,72,73
Prensas,2188-05-30,2188-05-30 09:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,8,9
Tamices o Cribas,2188-06-29,2188-06-30 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,48,47
Bombas,2188-08-08,2188-08-09 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,48,46
Bombas,2188-09-17,2188-09-17 07:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,8,7
Tamices o Cribas,2188-10-17,2188-10-17 09:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,8,9
Digestores,2188-12-16,2188-12-19 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,72,74
Prensas,2189-01-20,2189-01-20 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,12,10
Digestores,2189-03-21,2189-03-23 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,48,50
Lavadoras de Pulpa,2189-05-05,2189-05-08 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,72,73
Prensas,2189-06-09,2189-06-11 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,72,71
Lavadoras de Pulpa,2189-07-24,2189-07-24 13:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,12,13
Prensas,2189-08-28,2189-08-30 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,48,49
Digestores,2189-10-27,2189-10-30 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Mantenimiento insuficiente,72,74
Digestores,2189-12-26,2189-12-26 06:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,6,6
Prensas,2190-01-30,2190-02-01 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,48,48
Lavadoras de Pulpa,2190-03-16,2190-03-16 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,8,10
Prensas,2190-04-20,2190-04-20 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,12,10
Prensas,2190-05-25,2190-05-27 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,72,71
Bombas,2190-07-04,2190-07-06 22:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Mantenimiento insuficiente,72,70
Bombas,2190-08-13,2190-08-13 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,24,23
Prensas,2190-09-17,2190-09-18 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,48,47
Prensas,2190-10-22,2190-10-23 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,24,26
Digestores,2190-12-21,2190-12-21 10:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,12,10
Refinadores,2191-02-09,2191-02-09 14:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,12,14
Refinadores,2191-03-31,2191-03-31 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,4,2
Refinadores,2191-05-20,2191-05-21 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,48,46
Refinadores,2191-07-09,2191-07-09 07:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,8,7
Digestores,2191-09-07,2191-09-07 10:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,12,10
Prensas,2191-10-12,2191-10-12 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,4,2
Tamices o Cribas,2191-11-11,2191-11-11 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,12,10
Tamices o Cribas,2191-12-11,2191-12-11 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,6,6
